credit_rating,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,capital,operating_cash_flow,interest_bearing_debt,debt_ratio,ROA,ROE,asset_turnover_ratio,interest_to_assets_ratio,interest_to_revenue_ratio,cash_flow_to_interest,interest_to_cash_flow,log_total_assets,log_total_liabilities
AAA,30055.0,15027.5,19506.1,63860.3,77624.7,34175.2,34175.2,50109.0,72444.3,2.3,0.3,0.6,0.5,1.1,2.4,0.7,1.4,4.8,4.9
AAA,91349.9,18615.0,18074.3,428169.1,223896.9,218299.5,0.1,40658.6,134119.1,2238968.6,0.0,0.1,0.2,0.3,1.5,0.3,3.3,5.6,5.4
AAA,154340.8,24803.3,24480.1,271098.9,45007.3,196296.1,0.1,24775.9,102364.7,450072.6,0.1,0.1,0.6,0.4,0.7,0.2,4.1,5.4,4.7
AAA,199224.7,16219.3,22062.8,306962.4,51923.9,218048.9,0.1,49893.6,53783.3,519239.1,0.1,0.1,0.6,0.2,0.3,0.9,1.1,5.5,4.7
AAA,141585.3,21260.1,20374.3,236764.4,6532.7,223125.5,0.1,53060.1,12931.9,65326.8,0.1,0.1,0.6,0.1,0.1,4.1,0.2,5.4,3.8
AAA,166499.3,14121.2,5804.2,498074.9,287941.3,174866.8,0.1,4437.6,158331.2,2879412.9,0.0,0.0,0.3,0.3,1.0,0.0,35.7,5.7,5.5
AAA,35012.8,12512.5,9673.0,401030.9,339248.4,100263.7,36263.5,20479.6,171298.7,9.4,0.0,0.1,0.1,0.4,4.9,0.1,8.4,5.6,5.5
AAA,170681.8,13253.1,12549.1,395687.7,252482.5,113679.8,16834.2,14429.2,118822.5,15.0,0.0,0.1,0.4,0.3,0.7,0.1,8.2,5.6,5.4
AAA,197810.7,18625.3,12233.3,449472.0,323271.8,89654.4,65493.9,183.8,131514.1,4.9,0.0,0.1,0.4,0.3,0.7,0.0,711.5,5.7,5.5
AAA,216388.7,-440.3,4106.3,583598.2,352195.9,189979.0,0.1,9166.1,99003.4,3521958.8,0.0,0.0,0.4,0.2,0.5,0.1,10.8,5.8,5.5
AAA,9361.6,-3013.7,-3223.4,316496.9,252279.1,123384.3,99295.0,7466.3,119656.1,2.5,-0.0,-0.0,0.0,0.4,12.8,0.1,16.0,5.5,5.4
AAA,127565.9,21222.5,17217.4,368248.0,161785.5,213700.5,56950.5,35467.6,90665.5,2.8,0.0,0.1,0.3,0.2,0.7,0.4,2.6,5.6,5.2
AAA,149543.6,14545.9,2523.7,293230.7,208171.2,75592.9,75592.9,34111.4,84385.0,2.8,0.0,0.0,0.5,0.3,0.6,0.4,2.5,5.5,5.3
AAA,234581.7,17814.6,26721.9,444831.2,201623.0,190247.0,4362.2,-4442.2,71371.7,46.2,0.1,0.1,0.5,0.2,0.3,-0.1,-16.1,5.6,5.3
AAA,72659.1,16124.0,9923.8,528949.8,354493.6,199698.0,0.1,24941.0,136974.2,3544936.5,0.0,0.0,0.1,0.3,1.9,0.2,5.5,5.7,5.5
AAA,6344.3,3172.2,-1277.2,215884.3,137894.0,160067.1,131300.7,37727.2,29904.4,1.1,-0.0,-0.0,0.0,0.1,4.7,1.3,0.8,5.3,5.1
AAA,56517.1,18669.6,19573.2,610804.1,401502.8,261056.8,73349.5,43371.0,190246.2,5.5,0.0,0.1,0.1,0.3,3.4,0.2,4.4,5.8,5.6
AAA,112121.5,9761.1,7724.0,252608.4,42253.1,245504.8,130569.9,41974.2,-9613.7,0.3,0.0,0.0,0.4,-0.0,-0.1,-4.4,-0.2,5.4,4.6
AAA,13662.0,-2607.1,-453.5,423894.8,367331.2,101676.3,82763.8,10289.4,213425.3,4.4,-0.0,-0.0,0.0,0.5,15.6,0.0,20.7,5.6,5.6
AAA,199992.0,11218.8,-3017.3,309654.3,228015.2,61133.9,61133.9,54158.6,35542.1,3.7,-0.0,-0.0,0.6,0.1,0.2,1.5,0.7,5.5,5.4
AAA,145523.6,4853.0,2476.1,554350.8,368938.6,213827.9,91026.9,42435.9,44486.8,4.1,0.0,0.0,0.3,0.1,0.3,1.0,1.0,5.7,5.6
AAA,159742.2,21439.3,8760.6,444571.1,313364.2,114768.7,114768.7,7001.6,174439.1,2.7,0.0,0.1,0.4,0.4,1.1,0.0,24.9,5.6,5.5
AAA,232741.0,23466.3,20609.3,354862.4,198154.6,126827.0,126827.0,4958.5,25959.4,1.6,0.1,0.2,0.7,0.1,0.1,0.2,5.2,5.6,5.3
AAA,206748.4,21583.8,11629.4,276277.8,145374.7,79069.9,39233.0,56195.9,121963.7,3.7,0.0,0.1,0.7,0.4,0.6,0.5,2.2,5.4,5.2
AAA,164589.3,10815.9,12975.5,406452.1,153874.9,224541.1,0.1,-3186.3,48681.6,1538748.8,0.0,0.1,0.4,0.1,0.3,-0.1,-15.3,5.6,5.2
AAA,301091.6,26714.3,22267.0,588129.8,212137.3,276811.0,0.1,8562.4,154099.4,2121373.0,0.0,0.1,0.5,0.3,0.5,0.1,18.0,5.8,5.3
AAA,206080.9,31956.8,16572.6,376882.3,165242.2,190428.8,36952.4,43008.9,25757.1,4.5,0.0,0.1,0.5,0.1,0.1,1.7,0.6,5.6,5.2
AAA,279846.7,8841.0,-905.5,429171.0,92523.9,277993.0,0.1,35538.5,-21693.1,925239.5,-0.0,-0.0,0.7,-0.1,-0.1,-1.6,-0.6,5.6,5.0
AAA,48769.9,15891.6,23512.8,212847.5,188841.2,45452.5,45452.5,33292.3,163174.9,4.2,0.1,0.5,0.2,0.8,3.3,0.2,4.9,5.3,5.3
AAA,103710.3,36094.9,22762.3,183126.7,57155.5,122085.0,0.1,57795.5,71595.6,571555.2,0.1,0.2,0.6,0.4,0.7,0.8,1.2,5.3,4.8
AAA,102704.1,-1209.3,4533.9,445422.6,263431.4,173443.9,11672.7,-7629.1,184151.7,22.6,0.0,0.0,0.2,0.4,1.8,-0.0,-24.1,5.6,5.4
AAA,101305.4,-7661.4,-8805.6,249548.3,207599.8,48329.9,48329.9,32827.1,162546.1,4.3,-0.0,-0.2,0.4,0.7,1.6,0.2,5.0,5.4,5.3
AAA,291882.4,7135.6,5061.6,632571.3,348802.0,188612.8,0.1,55610.5,212912.8,3488020.3,0.0,0.0,0.5,0.3,0.7,0.3,3.8,5.8,5.5
AAA,168289.1,19920.2,18920.3,350726.4,162672.1,184951.9,57363.0,52832.6,40479.7,2.8,0.1,0.1,0.5,0.1,0.2,1.3,0.8,5.5,5.2
AAA,133115.4,22911.5,18083.6,350987.7,199715.5,144612.1,0.1,56732.0,96927.4,1997155.0,0.1,0.1,0.4,0.3,0.7,0.6,1.7,5.5,5.3
AAA,277985.7,28904.1,22765.9,514051.8,170644.1,300263.5,174673.5,54259.9,92719.0,1.0,0.0,0.1,0.5,0.2,0.3,0.6,1.7,5.7,5.2
AAA,163726.3,24441.1,18251.3,126456.9,11497.7,83668.1,0.1,37731.8,-5371.2,114977.5,0.1,0.2,1.3,-0.0,-0.0,-7.0,-0.1,5.1,4.1
AAA,179476.4,4154.0,-3714.8,522470.3,199636.1,316322.3,0.1,7673.9,13067.6,1996361.1,-0.0,-0.0,0.3,0.0,0.1,0.6,1.7,5.7,5.3
AAA,115696.0,8772.9,10538.1,318569.7,172288.6,165376.4,152039.1,11206.6,79954.2,1.1,0.0,0.1,0.4,0.3,0.7,0.1,7.1,5.5,5.2
AAA,299741.5,19312.7,7188.9,484027.0,103904.5,304384.8,73781.8,24997.7,76345.7,1.4,0.0,0.0,0.6,0.2,0.3,0.3,3.1,5.7,5.0
AAA,95616.6,14144.1,8501.0,350129.0,98520.6,274387.2,61884.2,1878.8,63234.6,1.6,0.0,0.0,0.3,0.2,0.7,0.0,33.6,5.5,5.0
AAA,36259.3,18129.7,6481.1,112730.0,108259.4,69546.2,69546.2,43301.8,-18040.3,1.6,0.1,0.1,0.3,-0.2,-0.5,-2.4,-0.4,5.1,5.0
AAA,199094.9,24254.4,21660.6,517866.8,251929.8,227220.9,45498.7,39665.9,182368.7,5.5,0.0,0.1,0.4,0.4,0.9,0.2,4.6,5.7,5.4
AAA,63912.9,3311.7,4967.6,353828.6,252691.7,120622.7,4007.7,4413.4,127299.8,63.1,0.0,0.0,0.2,0.4,2.0,0.0,28.8,5.5,5.4
AAA,82576.1,20228.8,14899.6,408205.2,168197.1,275774.0,1805.0,20152.9,45359.5,93.2,0.0,0.1,0.2,0.1,0.5,0.4,2.3,5.6,5.2
AAA,27512.3,13756.2,7071.6,408318.7,313057.0,140932.7,0.1,43609.4,138110.4,3130570.2,0.0,0.1,0.1,0.3,5.0,0.3,3.2,5.6,5.5
AAA,96179.2,-734.3,-6358.9,250228.3,43056.4,225582.1,59644.3,11750.4,28667.5,0.7,-0.0,-0.0,0.4,0.1,0.3,0.4,2.4,5.4,4.6
AAA,32477.3,-1566.4,1557.1,255958.4,127859.6,156503.7,50797.9,13380.8,146987.1,2.5,0.0,0.0,0.1,0.6,4.5,0.1,11.0,5.4,5.1
AAA,126776.6,7980.8,-3124.5,440453.3,212351.7,210056.2,0.1,1977.0,116966.2,2123516.8,-0.0,-0.0,0.3,0.3,0.9,0.0,59.1,5.6,5.3
AAA,179126.4,24837.2,13666.6,579117.8,313710.6,266152.8,141773.1,21673.0,126692.0,2.2,0.0,0.1,0.3,0.2,0.7,0.2,5.8,5.8,5.5
AAA,95443.1,18820.0,11001.9,314015.6,215892.0,119994.3,41280.4,40827.1,75740.6,5.2,0.0,0.1,0.3,0.2,0.8,0.5,1.9,5.5,5.3
AAA,183629.3,22277.2,11986.8,530152.0,349362.8,140567.7,0.1,9211.9,178609.9,3493627.9,0.0,0.1,0.3,0.3,1.0,0.1,19.4,5.7,5.5
AAA,41515.9,16612.8,10996.0,253434.5,176825.5,108271.0,0.1,10070.1,38409.4,1768254.9,0.0,0.1,0.2,0.2,0.9,0.3,3.8,5.4,5.2
AAA,67468.9,6671.7,6874.3,188548.8,84424.1,114347.9,0.1,2667.4,78173.4,844241.0,0.0,0.1,0.4,0.4,1.2,0.0,29.3,5.3,4.9
AAA,156778.5,24431.2,15369.3,268668.3,123547.3,120206.6,72912.0,59814.2,147521.7,1.7,0.1,0.1,0.6,0.5,0.9,0.4,2.5,5.4,5.1
AAA,227359.3,16081.8,21887.9,525907.4,218243.7,270032.2,145930.8,33983.5,161873.1,1.5,0.0,0.1,0.4,0.3,0.7,0.2,4.8,5.7,5.3
AAA,293737.7,18203.1,5745.1,486734.3,121556.7,280692.1,0.1,168.4,16514.8,1215567.2,0.0,0.0,0.6,0.0,0.1,0.0,97.5,5.7,5.1
AAA,111399.3,-5759.0,-1588.6,416790.6,204785.5,221300.2,85265.2,-4790.7,109868.6,2.4,-0.0,-0.0,0.3,0.3,1.0,-0.0,-22.9,5.6,5.3
AAA,176414.5,26231.0,18198.3,379313.0,190645.3,187715.9,149800.7,12035.3,57129.5,1.3,0.0,0.1,0.5,0.2,0.3,0.2,4.7,5.6,5.3
AAA,184359.9,23232.7,13828.1,470833.5,342161.2,96690.9,0.1,30065.7,132636.2,3421612.2,0.0,0.1,0.4,0.3,0.7,0.2,4.4,5.7,5.5
AAA,94115.2,3035.3,-2052.9,301736.6,97915.3,215048.1,46830.3,5858.2,81608.8,2.1,-0.0,-0.0,0.3,0.3,0.9,0.1,13.9,5.5,5.0
AAA,132688.6,-9411.7,-3358.8,555222.0,357601.3,209786.4,127488.0,-33.7,132661.2,2.8,-0.0,-0.0,0.2,0.2,1.0,-0.0,-4053.1,5.7,5.6
AAA,182758.8,22483.7,20017.4,434009.2,286230.8,121699.1,121699.1,42681.8,193180.7,2.4,0.0,0.2,0.4,0.4,1.1,0.2,4.5,5.6,5.5
AAA,179614.0,10819.0,3411.6,421502.1,292695.3,106629.5,43192.5,30929.1,97386.7,6.8,0.0,0.0,0.4,0.2,0.5,0.3,3.1,5.6,5.5
AAA,203973.0,17938.2,11014.8,436210.0,168720.4,219270.8,0.1,36149.1,90555.8,1687203.6,0.0,0.1,0.5,0.2,0.4,0.4,2.5,5.6,5.2
AAA,263825.5,2964.9,-7523.5,485661.8,298401.9,101977.0,0.1,22434.1,99645.4,2984019.1,-0.0,-0.1,0.5,0.2,0.4,0.2,4.4,5.7,5.5
AAA,62216.9,28550.2,21925.8,149935.7,92633.5,75631.4,0.1,56746.7,73747.0,926335.1,0.1,0.3,0.4,0.5,1.2,0.8,1.3,5.2,5.0
AAA,215019.5,10078.0,-7738.2,563353.0,207154.2,334776.1,124546.2,51633.8,116108.7,1.7,-0.0,-0.0,0.4,0.2,0.5,0.4,2.2,5.8,5.3
AAA,128868.9,24579.5,22420.1,189981.3,106946.3,71449.0,0.1,55786.4,46041.0,1069462.9,0.1,0.3,0.7,0.2,0.4,1.2,0.8,5.3,5.0
AAA,265942.0,32372.2,24007.5,564661.4,304697.3,200342.0,98593.7,11741.3,151728.2,3.1,0.0,0.1,0.5,0.3,0.6,0.1,12.9,5.8,5.5
AAA,168930.6,7006.9,9886.2,291442.4,203835.4,59768.6,35531.4,17080.0,80089.5,5.7,0.0,0.2,0.6,0.3,0.5,0.2,4.7,5.5,5.3
AAA,129191.6,7781.0,-795.6,210752.9,53167.8,151402.4,21051.9,16474.1,28760.2,2.5,-0.0,-0.0,0.6,0.1,0.2,0.6,1.7,5.3,4.7
AAA,153765.4,35629.7,26544.4,305526.7,168040.1,137658.7,137658.7,23049.8,107756.6,1.2,0.1,0.2,0.5,0.4,0.7,0.2,4.7,5.5,5.2
AAA,30729.1,9869.9,5310.2,156805.5,161377.6,40936.8,40936.8,39716.6,64155.4,3.9,0.0,0.1,0.2,0.4,2.1,0.6,1.6,5.2,5.2
AAA,190636.3,22232.6,22812.5,330334.6,216983.9,95307.5,95307.5,35330.3,87054.0,2.3,0.1,0.2,0.6,0.3,0.5,0.4,2.5,5.5,5.3
AAA,93632.8,8739.1,9675.1,179119.1,36925.7,133380.8,0.1,12748.6,53243.6,369257.4,0.1,0.1,0.5,0.3,0.6,0.2,4.2,5.3,4.6
AAA,207595.8,29051.1,14314.9,436590.1,213142.1,180432.0,57117.0,54241.8,162657.5,3.7,0.0,0.1,0.5,0.4,0.8,0.3,3.0,5.6,5.3
AAA,265039.6,6671.1,1526.3,530179.0,345095.9,91900.9,0.1,28573.6,159474.8,3450959.1,0.0,0.0,0.5,0.3,0.6,0.2,5.6,5.7,5.5
AAA,21778.4,1435.2,-2543.4,304429.7,259706.1,97468.9,81708.8,59992.7,139390.6,3.2,-0.0,-0.0,0.1,0.5,6.4,0.4,2.3,5.5,5.4
AAA,291282.6,25548.3,15616.0,490472.1,196424.0,243474.1,165913.5,27958.5,57471.9,1.2,0.0,0.1,0.6,0.1,0.2,0.5,2.1,5.7,5.3
AAA,149459.6,35128.3,25639.8,311387.3,217467.4,78035.7,0.1,40629.6,65297.2,2174673.8,0.1,0.3,0.5,0.2,0.4,0.6,1.6,5.5,5.3
AAA,108675.8,19994.1,16365.9,331750.2,218022.7,135932.9,58804.8,48641.4,67348.6,3.7,0.0,0.1,0.3,0.2,0.6,0.7,1.4,5.5,5.3
AAA,148727.1,35416.1,14809.0,390972.4,217009.6,155670.1,6539.2,9520.6,124204.7,33.2,0.0,0.1,0.4,0.3,0.8,0.1,13.0,5.6,5.3
AAA,207062.4,25927.3,16616.1,378593.7,115245.4,226036.8,110505.3,26326.1,124279.4,1.0,0.0,0.1,0.5,0.3,0.6,0.2,4.7,5.6,5.1
AAA,282425.2,35204.8,20528.2,543227.3,333802.8,121015.3,3016.0,57880.9,204302.2,110.7,0.0,0.2,0.5,0.4,0.7,0.3,3.5,5.7,5.5
AAA,293675.2,12011.5,8237.8,573562.6,219067.5,258296.2,0.1,31622.0,120464.5,2190675.1,0.0,0.0,0.5,0.2,0.4,0.3,3.8,5.8,5.3
AAA,201783.8,14582.3,6726.9,323860.0,92804.7,179611.5,24600.9,16340.7,107708.5,3.8,0.0,0.0,0.6,0.3,0.5,0.2,6.6,5.5,5.0
AAA,289793.4,3657.1,4152.2,626528.3,387754.2,134049.6,0.1,10938.2,174003.2,3877542.1,0.0,0.0,0.5,0.3,0.6,0.1,15.9,5.8,5.6
AAA,154919.3,34196.5,16131.4,449191.6,345329.1,101490.7,101490.7,45162.6,188873.0,3.4,0.0,0.2,0.3,0.4,1.2,0.2,4.2,5.7,5.5
AAA,72010.1,21885.3,11010.9,218967.6,43116.4,221110.4,60965.3,25576.8,-13178.0,0.7,0.1,0.0,0.3,-0.1,-0.2,-1.9,-0.5,5.3,4.6
AAA,19150.3,8705.5,8287.4,78438.3,90438.5,46721.4,46721.4,-4894.8,37947.0,1.9,0.1,0.2,0.2,0.5,2.0,-0.1,-7.8,4.9,5.0
AAA,20941.7,10470.9,15706.3,330620.6,286999.4,101805.2,101805.2,43881.8,175285.3,2.8,0.0,0.2,0.1,0.5,8.4,0.3,4.0,5.5,5.5
AAA,74287.8,3164.3,-4603.6,331184.6,219405.9,159290.5,52970.2,29447.2,3950.1,4.1,-0.0,-0.0,0.2,0.0,0.1,7.5,0.1,5.5,5.3
AAA,137043.2,14828.8,11114.2,607225.9,346087.9,264110.1,0.1,54315.6,154238.4,3460879.5,0.0,0.0,0.2,0.3,1.1,0.4,2.8,5.8,5.5
AAA,203809.5,23635.9,24491.9,558654.2,248231.9,291911.7,111743.0,29437.8,130916.0,2.2,0.0,0.1,0.4,0.2,0.6,0.2,4.4,5.7,5.4
AAA,138412.2,12693.8,12363.0,484081.2,253986.9,227597.1,106052.0,39422.9,183294.3,2.4,0.0,0.1,0.3,0.4,1.3,0.2,4.6,5.7,5.4
AAA,294910.0,23042.9,12871.3,586659.9,351484.9,132261.8,0.1,47941.2,186661.9,3514849.1,0.0,0.1,0.5,0.3,0.6,0.3,3.9,5.8,5.5
AAA,195043.0,25044.8,24931.4,225725.3,9082.9,189235.6,0.1,42298.4,-23150.9,90828.6,0.1,0.1,0.9,-0.1,-0.1,-1.8,-0.5,5.4,4.0
AAA,251775.6,-3371.3,1291.5,357965.6,74241.2,224055.4,5745.0,-147.9,-2273.9,12.9,0.0,0.0,0.7,-0.0,-0.0,0.1,15.5,5.6,4.9
AAA,245596.6,-8834.8,-10691.4,620914.2,256070.4,290032.5,0.1,40221.4,198217.9,2560704.0,-0.0,-0.0,0.4,0.3,0.8,0.2,4.9,5.8,5.4
AAA,222618.3,12421.8,-634.0,336074.7,178326.0,126887.7,126887.7,55837.7,59267.0,1.4,-0.0,-0.0,0.7,0.2,0.3,0.9,1.1,5.5,5.3
AAA,39964.6,-4860.1,-6477.4,335180.5,283926.9,79216.6,0.1,2841.3,106261.3,2839268.7,-0.0,-0.1,0.1,0.3,2.7,0.0,37.4,5.5,5.5
AAA,172610.8,-711.1,-10202.3,505798.0,223273.7,274534.4,77975.8,2304.3,71123.5,2.9,-0.0,-0.0,0.3,0.1,0.4,0.0,30.9,5.7,5.3
AAA,151085.8,5206.8,4012.0,268807.8,47604.0,228393.1,111080.1,21946.0,-3556.2,0.4,0.0,0.0,0.6,-0.0,-0.0,-6.2,-0.2,5.4,4.7
AAA,216886.6,13025.5,16663.3,567021.7,298998.0,230448.3,3031.0,37754.6,118776.2,98.6,0.0,0.1,0.4,0.2,0.5,0.3,3.1,5.8,5.5
AAA,235454.4,36417.3,19494.8,554259.6,251501.0,248659.2,0.1,43556.7,115143.5,2515010.3,0.0,0.1,0.4,0.2,0.5,0.4,2.6,5.7,5.4
AAA,104278.6,17997.2,14502.9,500837.0,387851.6,123952.5,54805.6,56506.4,204768.7,7.1,0.0,0.1,0.2,0.4,2.0,0.3,3.6,5.7,5.6
AAA,128249.9,23516.9,22085.4,418036.3,274170.1,132268.6,0.1,25126.3,106035.3,2741700.7,0.1,0.2,0.3,0.3,0.8,0.2,4.2,5.6,5.4
AAA,133501.3,15560.8,10438.6,251344.0,139453.9,138520.6,138520.6,43700.5,503.8,1.0,0.0,0.1,0.5,0.0,0.0,86.6,0.0,5.4,5.1
AAA,55145.5,27572.7,22539.4,102566.9,69652.1,79996.2,79996.2,30859.2,13991.8,0.9,0.2,0.3,0.5,0.1,0.3,2.2,0.5,5.0,4.8
AAA,300437.2,26694.4,15523.3,492784.2,109434.8,319699.5,64247.3,23630.7,25524.0,1.7,0.0,0.0,0.6,0.1,0.1,0.9,1.1,5.7,5.0
